2018 Rank,City Name,State Name,2018 Estimate,2010 Census,Change (%),2016 Land Area (sq mi),2016 Land Area (sq km),2016 Population Density (per sq mi),2016 Population Density (per sq km),Location,Mayor,Time Zone (Summer),Area Codes
159,Alexandria,Virginia,160530,139966,+14.69,15.0  ,38.8 ,10387 ,4010, ﻿38.8201°N 77.0841°W﻿ ,justin wilson ,utc-4 (edt),571 703
160,Hayward,California,159620,144186,+10.70,45.5  ,117.8 ,3493 ,1349, ﻿37.6287°N 122.1024°W﻿ ,barbara halliday[6],utc−7 (pdt),510
161,Lancaster,California,159053,156633,+1.55,94.3  ,244.2 ,1698 ,656, ﻿34.6936°N 118.1753°W﻿ ,r. rex parris[3],utc-7 (pdt),661
162,Lakewood,Colorado,156798,142980,+9.66,42.9  ,111.1 ,3599 ,1390, ﻿39.6989°N 105.1176°W﻿ ,adam paul,utc-6 (mdt),both 303 and 720
163,Clarksville,Tennessee,156794,132929,+17.95,98.3  ,254.6 ,1529 ,590, ﻿36.5664°N 87.3452°W﻿ ,joe pitts,utc−5 (cdt),931
164,Palmdale,California,156667,152750,+2.56,106.0  ,274.5 ,1484 ,573, ﻿34.5910°N 118.1054°W﻿ ,nan,utc−7 (pdt),661
165,Salinas,California,156259,150441,+3.87,23.6  ,61.1 ,6662 ,2572, ﻿36.6902°N 121.6337°W﻿ ,joe gunter[4],utc−7 (pdt),831
166,Springfield,Massachusetts,155032,153060,+1.29,31.9  ,82.6 ,4830 ,1860, ﻿42.1155°N 72.5400°W﻿ ,domenic sarno ,utc−4 (eastern),413
167,Hollywood,Florida,154823,140768,+9.98,27.3  ,70.7 ,5568 ,2150, ﻿26.0310°N 80.1646°W﻿ ,nan,nan,nan
168,Pasadena,Texas,153219,149043,+2.80,43.5  ,112.7 ,3525 ,1361, ﻿29.6586°N 95.1506°W﻿ ,jeff wagner,utc−5 (cdt),713 281 346 and 832
169,Sunnyvale,California,153185,140081,+9.35,22.0  ,57.0 ,6944 ,2681, ﻿37.3858°N 122.0263°W﻿ ,larry klein[2],utc−7 (pdt),408/669 and 650
170,Macon,Georgia,153095,91351,+67.59,249.3  ,645.7 ,612 ,236, ﻿32.8088°N 83.6942°W﻿ ,robert reichert ,utc−4 (edt),478
171,Kansas City,Kansas,152958,145786,+4.92,124.8  ,323.2 ,1216 ,470, ﻿39.1225°N 94.7418°W﻿ ,david alvey,utc−5 (cdt),913
172,Pomona,California,152361,149058,+2.22,23.0  ,59.6 ,6630 ,2560, ﻿34.0585°N 117.7611°W﻿ ,nan,utc−7 (pdt),909
173,Escondido,California,152213,143911,+5.77,37.1  ,96.1 ,4087 ,1578, ﻿33.1331°N 117.0740°W﻿ ,paul mcnamara ,utc−7 (pdt),442/760
174,Killeen,Texas,149103,127921,+16.56,53.5  ,138.6 ,2680 ,1030, ﻿31.0777°N 97.7320°W﻿ ,nan,utc-5 (cdt),254
175,Naperville,Illinois,148304,141853,+4.55,38.7  ,100.2 ,3802 ,1468, ﻿41.7492°N 88.1620°W﻿ ,nan,nan,nan
176,Joliet,Illinois,148099,147433,+0.45,64.4  ,166.8 ,2302 ,889, ﻿41.5177°N 88.1488°W﻿ ,bob o'dekirk ,utc-5 (cdt),815 779
177,Bellevue,Washington,147599,122363,+20.62,33.5  ,86.8 ,4221 ,1630, ﻿47.5979°N 122.1565°W﻿ ,john chelminiak,utc−7 (pdt),425
178,Rockford,Illinois,146526,152871,−4.15,63.5  ,164.5 ,2325 ,898, ﻿42.2588°N 89.0646°W﻿ ,thomas mcnamara ,utc−5 (cdt),815 779
179,Savannah,Georgia,145862,136286,+7.03,103.6  ,268.3 ,1417 ,547, ﻿32.0025°N 81.1536°W﻿ ,eddie deloach ,utc−4 (edt),912
180,Paterson,New Jersey,145627,146199,−0.39,8.4  ,21.8 ,17500 ,6800, ﻿40.9148°N 74.1628°W﻿ ,andre sayegh,utc−4 (eastern (edt)),201 and 973[14]
181,Torrance,California,145182,145438,−0.18,20.5  ,53.1 ,7180 ,2770, ﻿33.8350°N 118.3414°W﻿ ,nan,utc−7 (pdt),310/424
182,Bridgeport,Connecticut,144900,144229,+0.47,16.1  ,41.7 ,9064 ,3500, ﻿41.1874°N 73.1958°W﻿ ,joe ganim ,utc-4 (eastern),203/475
183,McAllen,Texas,143433,129877,+10.44,58.4  ,151.3 ,2435 ,940, ﻿26.2322°N 98.2464°W﻿ ,nan,utc−5 (cdt),956
184,Mesquite,Texas,142816,139824,+2.14,47.2  ,122.2 ,3045 ,1176, ﻿32.7629°N 96.5888°W﻿ ,nan,utc-5 (cdt),214 469 972
185,Syracuse,New York,142749,145170,−1.67,25.0  ,64.7 ,5735 ,2214, ﻿43.0410°N 76.1436°W﻿ ,ben walsh ,utc−4 (eastern daylight time),nan
186,Midland,Texas,142344,111147,+28.07,74.4  ,192.7 ,1809 ,698, ﻿32.0246°N 102.1135°W﻿ ,jerry morales[1],utc−5 (cdt),432
187,Pasadena,California,141371,137122,+3.10,23.0  ,59.6 ,6176 ,2385, ﻿34.1606°N 118.1396°W﻿ ,terry tornek[3],utc−7 (pdt),323 626
188,Murfreesboro,Tennessee,141344,108755,+29.97,55.9  ,144.8 ,2360 ,910, ﻿35.8522°N 86.4160°W﻿ ,shane mcfarland ,utc−5 (cdt),615 629
189,Miramar,Florida,140823,122041,+15.39,29.4  ,76.1 ,4709 ,1818, ﻿25.9770°N 80.3358°W﻿ ,wayne m. messam,utc-4 (edt),754 954
190,Dayton,Ohio,140640,141527,−0.63,55.7  ,144.3 ,2522 ,974, ﻿39.7774°N 84.1996°W﻿ ,nan whaley ,utc-4 (edt),937
191,Fullerton,California,139640,135161,+3.31,22.4  ,58.0 ,6282 ,2425, ﻿33.8857°N 117.9280°W﻿ ,nan,utc-7 (pdt),562 657/714
192,Olathe,Kansas,139605,125872,+10.91,60.9  ,157.7 ,2225 ,859, ﻿38.8843°N 94.8195°W﻿ ,michael copeland,utc-5 (cdt),913
193,Orange,California,139484,136416,+2.25,25.4  ,65.8 ,5532 ,2136, ﻿33.7870°N 117.8613°W﻿ ,nan,utc−07:00 (pdt),657/714
194,Thornton,Colorado,139436,118772,+17.40,35.7  ,92.5 ,3829 ,1478, ﻿39.9194°N 104.9428°W﻿ ,heidi k. williams ,utc−6 (mdt),both 303 and 720
195,Roseville,California,139117,118788,+17.11,43.0  ,111.4 ,3085 ,1191, ﻿38.7690°N 121.3189°W﻿ ,susan rohan[2],utc−7 (pdt),916
