2018 Rank,City Name,State Name,2018 Estimate,2010 Census,Change (%),2016 Land Area (sq mi),2016 Land Area (sq km),2016 Population Density (per sq mi),2016 Population Density (per sq km),Location,Mayor,Time Zone (Summer),Area Codes
278,Broken Arrow,Oklahoma,109171,98850,+10.44,61.7  ,159.8 ,1741 ,672, ﻿36.0365°N 95.7810°W﻿ ,craig thurmond,utc−5 (cdt),539/918
279,Sandy Springs,Georgia,108797,93853,+15.92,37.7  ,97.6 ,2804 ,1083, ﻿33.9315°N 84.3687°W﻿ ,rusty paul[2],utc−4 (edt),404/678/770/470
280,Jurupa Valley,California,108393,0,NA[ab],42.9  ,111.1 ,2414 ,932, ﻿34.0026°N 117.4676°W﻿ ,verne lauritzen,utc-7 (pdt),951
281,Hillsboro,Oregon,108389,91611,+18.31,25.0  ,64.7 ,4207 ,1624, ﻿45.5280°N 122.9357°W﻿ ,steve callaway,utc−7 (pdt),503 and 971
282,Waterbury,Connecticut,108093,110366,−2.06,28.5  ,73.8 ,3799 ,1467, ﻿41.5585°N 73.0367°W﻿ ,neil o'leary ,utc−4 (eastern),203
283,Santa Maria,California,107408,99553,+7.89,22.8  ,59.1 ,4662 ,1800, ﻿34.9332°N 120.4438°W﻿ ,alice patino[3],utc−7 (pdt),805
284,Boulder,Colorado,107353,97385,+10.24,24.8  ,64.2 ,4358 ,1683, ﻿40.0270°N 105.2519°W﻿ ,suzanne jones,utc-6 (mdt),both 303 and 720
285,Greeley,Colorado,107348,92889,+15.57,47.8  ,123.8 ,2176 ,840, ﻿40.4153°N 104.7697°W﻿ ,john gates [4],utc−6 (mdt),970
286,Daly City,California,107008,101123,+5.82,7.6  ,19.7 ,14009 ,5409, ﻿37.7009°N 122.4650°W﻿ ,raymond a. buenaventura[2],utc−7 (pdt),415/628 650
287,Meridian,Idaho,106804,75092,+42.23,29.8  ,77.2 ,3584 ,1384, ﻿43.6142°N 116.3989°W﻿ ,tammy de weerd,utc−6 (mountain),208
288,Lewisville,Texas,106586,95290,+11.85,36.7  ,95.1 ,2852 ,1101, ﻿33.0466°N 96.9818°W﻿ ,nan,utc−5 (central),214 469 972[4]
289,Davie,Florida,106558,91992,+15.83,34.9  ,90.4 ,2919 ,1127, ﻿26.0791°N 80.2850°W﻿ ,nan,nan,nan
290,West Covina,California,106311,106098,+0.20,16.0  ,41.4 ,6740 ,2600, ﻿34.0559°N 117.9099°W﻿ ,nan,nan,nan
291,League City,Texas,106244,83560,+27.15,51.2  ,132.6 ,1992 ,769, ﻿29.4901°N 95.1091°W﻿ ,pat hallisey,utc-5 (cdt),281/346/713/832
292,Tyler,Texas,105729,96900,+9.11,56.6  ,146.6 ,1852 ,715, ﻿32.3173°N 95.3059°W﻿ ,martin heines ,utc−5 (central),430/903
293,Norwalk,California,105120,105549,−0.41,9.7  ,25.1 ,10946 ,4226, ﻿33.9076°N 118.0835°W﻿ ,nan,utc−7 (pdt),562
294,San Mateo,California,105025,97207,+8.04,12.1  ,31.3 ,8592 ,3317, ﻿37.5603°N 122.3106°W﻿ ,diane papan[2],utc−7 (pdt),650
295,Green Bay,Wisconsin,104879,104057,+0.79,45.4  ,117.6 ,2316 ,894, ﻿44.5207°N 87.9842°W﻿ ,eric genrich,utc−5 (cdt),920
296,Wichita Falls,Texas,104576,104553,+0.02,72.2  ,187.0 ,1450 ,560, ﻿33.9067°N 98.5259°W﻿ ,nan,nan,nan
297,Sparks,Nevada,104246,90264,+15.49,35.9  ,93.0 ,2810 ,1080, ﻿39.5544°N 119.7356°W﻿ ,ron smith ,utc−7 (pdt),775
298,Lakewood,New Jersey,104157,92843,+12.19,24.7  ,64.0 ,4079 ,1575, ﻿40.0771°N 74.2004°W﻿ ,raymond coles ,utc-4 (eastern (edt)),732[18]
299,Burbank,California,103695,103340,+0.34,17.4  ,45.1 ,6003 ,2318, ﻿34.1901°N 118.3264°W﻿ ,emily gabel-luddy[2],utc−7 (pdt),747/818
300,Rialto,California,103440,99171,+4.30,22.3  ,57.8 ,4633 ,1789, ﻿34.1118°N 117.3883°W﻿ ,nan,nan,nan
301,Allen,Texas,103383,84246,+22.72,27.1  ,70.2 ,3715 ,1434, ﻿33.0997°N 96.6631°W﻿ ,nan,utc-5 (cdt),214 469 972
302,El Cajon,California,103241,99478,+3.78,14.5  ,37.6 ,7156 ,2763, ﻿32.8017°N 116.9604°W﻿ ,bill wells[2],utc−7 (pdt),619
303,Las Cruces,New Mexico,102926,97618,+5.44,76.9  ,199.2 ,1323 ,511, ﻿32.3264°N 106.7897°W﻿ ,ken miyagishima,utc-6 (dst),nan
304,Renton,Washington,102153,90927,+12.35,23.4  ,60.6 ,4314 ,1666, ﻿47.4761°N 122.1920°W﻿ ,nan,nan,nan
305,Davenport,Iowa,102085,99685,+2.41,62.9  ,162.9 ,1631 ,630, ﻿41.5541°N 90.6040°W﻿ ,frank klipsch [2],utc−5 (cdt),563
306,South Bend,Indiana,101860,101168,+0.68,41.4  ,107.2 ,2457 ,949, ﻿41.6769°N 86.2690°W﻿ ,pete buttigieg ,utc−4 (edt),574
307,Vista,California,101224,93834,+7.88,18.7  ,48.4 ,5436 ,2099, ﻿33.1895°N 117.2386°W﻿ ,judy ritter[2],utc−7 (pdt),442/760
308,Tuscaloosa,Alabama,101113,90468,+11.77,71.7  ,185.7 ,1399 ,540, ﻿33.2065°N 87.5346°W﻿ ,walter maddox ,utc−5 (cdt),205
309,Clinton,Michigan,100800,96796,+4.14,28.1  ,72.8 ,3573 ,1380, ﻿42.5903°N 82.9170°W﻿ ,nan,utc-4 (edt),586
310,Edison,New Jersey,100693,99967,+0.73,30.1  ,78.0 ,3389 ,1309, ﻿40.5040°N 74.3494°W﻿ ,thomas lankey ,utc−4 (eastern (edt)),732 and 908[17]
311,Woodbridge,New Jersey,100450,99585,+0.87,23.3  ,60.3 ,4351 ,1680, ﻿40.5607°N 74.2927°W﻿ ,john mccormac ,utc−4 (eastern (edt)),732[24]
312,San Angelo,Texas,100215,93200,+7.53,59.9  ,155.1 ,1681 ,649, ﻿31.4411°N 100.4505°W﻿ ,nan,utc−5 (cdt),325
313,Kenosha,Wisconsin,100164,99218,+0.95,28.0  ,72.5 ,3577 ,1381, ﻿42.5822°N 87.8456°W﻿ ,john antaramian[2],utc−5 (cdt),262
314,Vacaville,California,100154,92428,+8.36,29.0  ,75.1 ,3449 ,1332, ﻿38.3539°N 121.9728°W﻿ ,ron rowlett[2],utc−7 (pdt),707
